Date,Part,Price,Description,URL
2021-02-10 09:57:27,rx6800xt,779.99,MSI RX6800 XT GAMING X TRIO 16G,https://www.amazon.co.uk/_itm/dp/B08QCLRN7S?tag=partalert-21&linkCode=ogi&th=1&psc=1&smid=A3P5ROKL5A1OLE
2021-02-10 08:31:48,rtx3080,870.00,ASUS TUF Gaming NVIDIA GeForce RTX 3080 OC Edition Carte Graphique (PCIe 4.0. 10GB GDDR6X. HDMI 2.1.,https://www.amazon.fr/_itm/dp/B08HN4DSTC?tag=partalertfr-21&linkCode=ogi&th=1&psc=1&smid=A1X6FK5RDHNB96
2021-02-10 06:35:21,rtx3070,607.22,ZOTAC GAMING GeForce RTX 3070 Twin Edge OC 8GB GDDR6 256-bit 14 Gbps PCIE 4.0 Gaming Graphics Card. ,https://www.amazon.co.uk/_itm/dp/B08LF1CWT2?tag=partalert-21&linkCode=ogi&th=1&psc=1&smid=A3P5ROKL5A1OLE
2021-02-10 04:17:39,rtx3060ti,450.60,EVGA GeForce RTX 3060 Ti FTW ULTRA GAMING. 08G-P5-3667-KR. 8GB GDDR6. iCX3 Cooling. ARGB LED,https://www.amazon.co.uk/_itm/dp/B08P2H5LW2?tag=partalert-21&linkCode=ogi&th=1&psc=1&smid=A3P5ROKL5A1OLE
2021-02-10 00:14:40,rtx3070,685.42,EVGA 08G-P5-3767-KR GeForce RTX 3070 FTW3 Ultra Gaming. 8GB GDDR6. iCX3 Technologie. ARGB LED. Metal,https://www.amazon.de/_itm/dp/B08L8L9TCZ?tag=partalertde-21&linkCode=ogi&th=1&psc=1&smid=A3JWKAKR8XB7XF
2021-02-09 23:35:32,rtx3060ti,570.56,Zotac Gaming GeForce RTX 3060 Ti Twin Edge OC. ZT-A30610H-10M,https://www.amazon.fr/_itm/dp/B08P3BJ9Y8?tag=partalertfr-21&linkCode=ogi&th=1&psc=1&smid=A1X6FK5RDHNB96
2021-02-09 21:36:25,rtx3070,685.42,EVGA 08G-P5-3767-KR GeForce RTX 3070 FTW3 Ultra Gaming. 8GB GDDR6. iCX3 Technologie. ARGB LED. Metal,https://www.amazon.de/_itm/dp/B08L8L9TCZ?tag=partalertde-21&linkCode=ogi&th=1&psc=1&smid=A3JWKAKR8XB7XF
2021-02-09 20:31:26,rtx3070,583.30,GeForce RTX 3070 Ventus 2X OC,https://www.amazon.de/_itm/dp/B08LNQTSCT?tag=partalertde-21&linkCode=ogi&th=1&psc=1&smid=A3JWKAKR8XB7XF
2021-02-09 20:10:06,rtx3070,733.05,Gigabyte RTX 3070 Gaming OC - Tarjeta gráfica GeForce 8 GB,https://www.amazon.es/_itm/dp/B08KHL21CV?tag=partalertes-21&linkCode=ogi&th=1&psc=1&smid=A1AT7YVPFBWXBL
2021-02-09 14:28:44,rtx3070,557.59,ZOTAC GAMING GeForce RTX 3070 Twin Edge OC,https://www.amazon.fr/_itm/dp/B08LBVNKT1?tag=partalertfr-21&linkCode=ogi&th=1&psc=1&smid=A1X6FK5RDHNB96
2021-02-09 14:28:32,rtx3070,619.90,ZOTAC GAMING GeForce RTX 3070 Twin Edge OC,https://www.amazon.de/_itm/dp/B08LBVNKT1?tag=partalertde-21&linkCode=ogi&th=1&psc=1&smid=A3JWKAKR8XB7XF
2021-02-09 14:11:03,rtx3070,607.57,ZOTAC GAMING GeForce RTX 3070 Twin Edge OC 8GB GDDR6 256-bit 14 Gbps PCIE 4.0 Gaming Graphics Card. ,https://www.amazon.co.uk/_itm/dp/B08LF1CWT2?tag=partalert-21&linkCode=ogi&th=1&psc=1&smid=A3P5ROKL5A1OLE
2021-02-09 13:02:44,rtx3070,729.00,ASUS TUF GeForce RTX 3070 8GB OC Edition Gaming Grafikkarte (PCIe 4.0. GDDR6 Speicher. 2x HDMI 2.1. ,https://www.amazon.de/_itm/dp/B08LLG9KQT?tag=partalertde-21&linkCode=ogi&th=1&psc=1&smid=A3JWKAKR8XB7XF
2021-02-09 07:32:56,rtx3070,589.99,Tarjeta gráfica ZOTAC Gaming GEFORCE RTX 3070 Twin Edge OC 8GB GDDR6,https://www.amazon.es/_itm/dp/B08LBVNKT1?tag=partalertes-21&linkCode=ogi&th=1&psc=1&smid=A1AT7YVPFBWXBL
2021-02-09 07:32:13,rtx3060ti,450.17,ASUS TUF Gaming GeForce RTX 3060 TI OC Edition Carte Graphique Nvidia Ampere. DLSS. PCIe 4.0. mémoir,https://www.amazon.fr/_itm/dp/B08NZ4G4T2?tag=partalertfr-21&linkCode=ogi&th=1&psc=1&smid=A1X6FK5RDHNB96
2021-02-09 06:40:02,rtx3070,727.00,Gigabyte Carte Graphique GeForce RTX 3070 Gaming OC 8 Go,https://www.amazon.fr/_itm/dp/B08KHL21CV?tag=partalertfr-21&linkCode=ogi&th=1&psc=1&smid=A1X6FK5RDHNB96
2021-02-09 04:17:00,rtx3070,721.65,MSI Gaming GeForce RTX 3070 8GB GDRR6 256-Bit HDMI/DP TORX Lüfter 3.0 Ampere Architektur OC Grafikka,https://www.amazon.de/_itm/dp/B08KWLMZV4?tag=partalertde-21&linkCode=ogi&th=1&psc=1&smid=A3JWKAKR8XB7XF
